"Materia","Voto","Quadrimestre","Data","Note","Peso","Anno"
"Educazione Civica","10","2","2025-02-28","Orale - Podcast Giornata della Memoria","100","2024/25"
"Educazione Civica","10","2","2025-02-04","Pratico - I linguaggi Object Oriented","100","2024/25"
"Educazione Civica","10","1","2025-01-16","Orale - Professori per due giorni","100","2024/25"
"Educazione Civica","8.5","1","2024-10-28","Orale - Campagna elettorale","100","2024/25"
"Informatica","9.5","2","2025-06-03","Pratico - Valutazione esercitazioni laboratorio","100","2024/25"
"Informatica","10","2","2025-05-20","Orale - Voto cumulativo competenze","100","2024/25"
"Informatica","10","2","2025-04-15","Orale","100","2024/25"
"Informatica","5","2","2025-03-25","Pratico - Prova pratica","100","2024/25"
"Informatica","4","2","2025-03-19","Orale - OOP","100","2024/25"
"Informatica","10","2","2025-03-04","Pratico - Applicazioni OOP","100","2024/25"
"Informatica","8.5","1","2025-01-16","Pratico - Lavori laboratorio","100","2024/25"
"Informatica","9","1","2024-12-18","Orale","100","2024/25"
"Informatica","10","1","2024-11-12","Pratico","100","2024/25"
"Informatica","8","1","2024-10-22","Orale - Esercizio assegnato","100","2024/25"
"Informatica","8.5","1","2024-10-08","Scritto/Grafico - Verifica di ripasso","100","2024/25"
"Lingua e Letteratura Italiana","10","2","2025-05-13","Orale - Machiavelli Ariosto Tasso","100","2024/25"
"Lingua e Letteratura Italiana","6","2","2025-04-02","Scritto/Grafico - Analisi testo Boccaccio","100","2024/25"
"Lingua e Letteratura Italiana","7","2","2025-03-12","Scritto/Grafico - Tipologia B","100","2024/25"
"Lingua e Letteratura Italiana","6.5","2","2025-02-25","Orale - Dante Umanesimo Petrarca","100","2024/25"
"Lingua e Letteratura Italiana","8","1","2024-12-05","Orale - Analisi testo Dante","100","2024/25"
"Lingua e Letteratura Italiana","6.5","1","2024-11-27","Scritto/Grafico - Tipologia B","100","2024/25"
"Lingua e Letteratura Italiana","6","1","2024-10-30","Scritto/Grafico - Tipologia B","100","2024/25"
"Lingua e Letteratura Italiana","8","1","2024-10-02","Orale - Riassunto lezione","100","2024/25"
"Scienze Motorie e Sportive","8","2","2025-05-15","Pratico","100","2024/25"
"Scienze Motorie e Sportive","8","2","2025-02-28","Orale","100","2024/25"
"Scienze Motorie e Sportive","7","2","2025-02-07","Orale","100","2024/25"
"Scienze Motorie e Sportive","6","1","2024-12-16","Orale","100","2024/25"
"Scienze Motorie e Sportive","8","1","2024-12-16","Pratico","100","2024/25"
"Storia","7.5","2","2025-05-15","Orale - Cap. 12 13 14","100","2024/25"
"Storia","8","2","2025-03-17","Orale - Cap. 8 9 10 11","100","2024/25"
"Storia","8","1","2024-12-16","Orale - Cap. 3 4 5","100","2024/25"
"Storia","8","1","2024-10-14","Orale - Ripasso lezione","100","2024/25"
"Lingua Inglese","8.5","2","2025-06-06","Voto Test - Presentazione in gruppo","100","2024/25"
"Lingua Inglese","6","2","2025-05-09","Scritto/Grafico","100","2024/25"
"Lingua Inglese","7","2","2025-04-11","Orale","100","2024/25"
"Lingua Inglese","8","2","2025-03-28","Scritto/Grafico","100","2024/25"
"Lingua Inglese","6.5","2","2025-02-11","Orale","100","2024/25"
"Lingua Inglese","6.5","1","2024-12-10","Orale","100","2024/25"
"Lingua Inglese","7","1","2024-11-07","Scritto/Grafico","100","2024/25"
"Lingua Inglese","6.5","1","2024-11-05","Orale","100","2024/25"
"Lingua Inglese","6.5","1","2024-09-24","Scritto/Grafico","100","2024/25"
"Matematica","10","2","2025-05-30","Scritto/Grafico","100","2024/25"
"Matematica","8.5","2","2025-05-20","Scritto/Grafico","100","2024/25"
"Matematica","10","2","2025-03-17","Orale","100","2024/25"
"Matematica","7","2","2025-02-28","Scritto/Grafico","100","2024/25"
"Matematica","10","1","2025-01-07","Scritto/Grafico","100","2024/25"
"Matematica","9","1","2024-11-25","Orale","100","2024/25"
"Matematica","10","1","2024-11-15","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","8","2","2025-06-05","Orale - Mezzi trasmissivi cablaggio","100","2024/25"
"Sistemi e Reti","6.5","2","2025-05-16","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","7","2","2025-05-16","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","7.5","2","2025-03-11","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","7.5","2","2025-03-11","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","9","1","2025-01-22","Pratico","100","2024/25"
"Sistemi e Reti","8","1","2025-01-17","Pratico - Bios e Uefi","100","2024/25"
"Sistemi e Reti","7.5","1","2024-12-17","Orale","100","2024/25"
"Sistemi e Reti","7","1","2024-12-17","Orale","100","2024/25"
"Sistemi e Reti","7.5","1","2024-10-22","Scritto/Grafico","100","2024/25"
"Sistemi e Reti","7","1","2024-10-22","Orale","100","2024/25"
"TPSIT","8","2","2025-05-26","Pratico - Virtual Machine","100","2024/25"
"TPSIT","7","2","2025-05-15","Orale","100","2024/25"
"TPSIT","5.5","2","2025-02-27","Scritto/Grafico - Processi thread scheduling","100","2024/25"
"TPSIT","7.5","1","2025-01-17","Pratico - Esercitazioni laboratorio","100","2024/25"
"TPSIT","9","1","2025-01-17","Pratico","100","2024/25"
"TPSIT","7.5","1","2025-01-09","Scritto/Grafico - Codifica informazioni","100","2024/25"
"TPSIT","8","1","2024-11-14","Scritto/Grafico","100","2024/25"
"Telecomunicazioni","9","2","2025-04-28","Pratico","100","2024/25"
"Telecomunicazioni","8.5","2","2025-04-14","Scritto/Grafico","100","2024/25"
"Telecomunicazioni","8","1","2025-01-13","Scritto/Grafico","100","2024/25"
"Telecomunicazioni","8.5","1","2024-11-22","Scritto/Grafico","100","2024/25"
